just	Sadece
lightbulb	ampul
cardiology	kardiyoloji
portico	revak
self-rule	kendi kendini yönetme
extinguisher	söndürücü
curveball	eğri top
materialist	materyalist
secretion	salgı
armoire	gardırop
bullhorn	megafon
endeavour	çaba
implicate	bulaştırmak
outperform	daha iyi performans göstermek
brusque	kaba
pithy	özlü
low-profile	düşük profilli
surrealist	sürrealist
eurocentric	Avrupa merkezli
khalid	halid
subcutaneous	deri altı
nepalese	Nepalli
throwaway	atmak
semicircle	yarım daire
derivation	türetme
paramedics	sağlık görevlileri
annex	ek
roach	hamamböceği
kmart	kmart
chalice	kadeh
postmaster	posta müdürü
ridership	yolcu sayısı
sledge	kızak
goalkeeper	kaleci
evangelization	İncil'i tebliğ etme
rafter	kiriş
kingship	krallık
golem	golem
ensue	meydana gelmek
ably	ustalıkla
reverent	saygılı
freaky	garip
low-end	düşük kalite
supine	sırtüstü
anti-western	Batı karşıtı
racial/ethnic	ırksal/etnik
misstep	yanlış adım
outlay	masraf
ubiquity	her yerde bulunma
industrialist	sanayici
hotshot	başarılı
zoology	zooloji
appendage	eklenti
flatness	düzlük
abolitionist	kölelik karşıtı
baldness	kellik
psychopath	psikopat
palmetto	palmetto
rue	rue
babylon	Babil
pontiff	papaz
dissociation	ayrışma
granddad	büyükbaba
minstrel	ozan
patterson	patterson
re-establish	yeniden kurmak
self-destruction	intihar
windblown	Rüzgârla savrulan
amicable	dostane
changeable	değiştirilebilir
deceitful	aldatıcı
old-line	eski hat
outermost	en dıştaki
eco-friendly	çevre dostu
four-cylinder	dört silindirli
intergalactic	galaksiler arası
sinhalese	Sinhalaca
bedridden	yatalak
shocker	şok edici
peacemaker	barışçıl
horticulture	bahçecilik
sparring	fikir tartışması
antagonist	rakip
banality	banallik
machismo	maçoluk
nominating	aday gösterme
microfilm	mikrofilm
walkie-talkie	telsiz
univ	üniversite
burr	çapak
workbook	çalışma kitabı
armistice	ateşkes
gypsum	alçıtaşı
vic	kurban
barbell	halter
boer	Boer
asca	özgür
dawn	şafak
tailor-made	kişiye özel
quixotic	Kişotvari
unscientific	bilim dışı
iffy	şüpheli
wimpy	zayıf
rechargeable	şarj edilebilir
barbarian	barbar
factorial	faktöriyel
risen	dirildi
lipid	lipit
erectile	erektil
prenuptial	evlilik öncesi
four	dört
magnificence	ihtişam
polemic	polemik
stepdaughter	üvey kız
desertion	firar
copycat	taklitçi
superstructure	üst yapı
coffeehouse	kahvehane
shipbuilding	gemi yapımı
rbis	rbis
chaser	kovalayan
meatloaf	köfte
printmaking	baskıresim
hyena	sırtlan
bellaire	bellaire
mimesis	mimesis
lycopene	likopen
klingon	klingonca
apprehend	tutuklamak
reset	sıfırlama
unapologetic	pişmanlık duymayan
muggy	bunaltıcı
well-made	iyi yapılmış
taken	alınmış
combustible	yanıcı
obstinate	inatçı
benedictine	benediktin
low-frequency	düşük frekans
unbidden	davetsiz
breadwinner	geçimini sağlayan kişi
postponement	erteleme
sportsman	sporcu
receptivity	alıcılık
pus	irin
allspice	yenibahar
nikon	Nikon
myrtle	mersin
cuticle	kütikül
mussel	midye
minnow	Golyan balığı
defibrillator	defibrilatör
coho	koho
creasy	kırışık
oft	sık sık
multibillion-dollar	milyarlarca dolar
airless	havasız
stupendous	muazzam
earthbound	toprağa bağlı
him	o
four-point	dört nokta
fixed-income	sabit gelirli
ultramarine	lacivert
sport-utility	spor hizmeti
muni	muni
gaelic	Galce
histologic	histolojik
esophageal	yemek borusu
zeitgeist	zamanın ruhu
jour	günlük
slob	salak
slippage	kayma
spandex	tayt
sneeze	hapşırmak
doggie	köpek
discoloration	solma
non-fiction	kurgu olmayan
distillation	damıtma
muslin	muslin
mobster	gangster
subtraction	çıkarma
patrimony	miras
amp	amfi
nonwhite	beyaz olmayan
sinker	platin
chieftain	reis
exorcism	şeytan çıkarma
elongation	uzama
char	karakter
antler	boynuz
upwind	rüzgara karşı
mais	Daha
neoliberalism	neoliberalizm
perfusion	perfüzyon
dissect	incelemek
impressionistic	izlenimci
late-season	sezon sonu
inarticulate	anlaşılmaz
contemporaneous	çağdaş
anthropomorphic	antropomorfik
olde	eski
wizardry	sihirbazlık
capitulation	teslim olma
tot	ile
balloting	oylama
cutlery	çatal bıçak takımı
celluloid	selüloit
pothole	çukur
abrasion	aşınma
bending	bükme
romaine	marul
mucous	mukoza
mistrial	hatalı yargılama
cataract	katarakt
mien	tavır
adjuster	ayarlayıcı
clitoris	klitoris
padre	peder
astro	astro
actuator	aktüatör
harmonize	uyumlu hale getirmek
wall-to-wall	duvardan duvara
argumentative	tartışmacı
detachable	ayrılabilir
brackish	acı
spiny	dikenli
adrenal	adrenalin
posttraumatic	travma sonrası
non-jewish	Yahudi olmayan
liberian	Liberyalı
vertebral	omur
debating	tartışma
menagerie	hayvanat bahçesi
hubby	koca
irritant	tahriş edici
tryout	deneme
fireside	ocak başı
firstborn	ilk doğan
kitty	kedicik
mutton	yapmıyorum
samaritan	Samiriyeli
formalism	biçimcilik
fedex	Fedex
weighting	ağırlıklandırma
marginality	marjinallik
donna	donna
larva	larva
assemblyman	meclis üyesi
propellant	itici gaz
heller	merhaba
sim	sim
occlusion	tıkanıklık
desalination	tuzdan arındırma
accrue	tahakkuk etmek
incisive	keskin
womanly	kadınsı
anarchic	anarşik
thoracic	torasik
juridical	hukuki
single-sex	tek cinsiyet
aplomb	özgüven
spiel	konuşma
threesome	üçlü
confidante	sırdaş
monolith	yekpare taş
strongman	diktatör
pervasiveness	yaygınlık
sell-off	satış
dame	kadın
mojo	mojo
tellin	anlatıyor
tabernacle	çadır
indecency	ahlaksızlık
cirrhosis	siroz
calypso	kalipso
btu	btu
osha	oşa
servo	servo
despise	küçümsemek
squishy	yumuşak
unworkable	çalışılamaz
rolled-up	toplanmış
one-woman	tek kadın
flirty	flörtöz
strapless	askısız
trans-atlantic	transatlantik
corporatist	korporatist
jetliner	jet uçağı
grunge	grunge
shading	gölgeleme
eroticism	erotizm
sycamore	çınar
mayflower	Mayıs çiçeği
mowing	biçme
setter	pasör
twain	iki
protectorate	koruyuculuk
gluten	glüten
subsection	alt bölüm
camaro	camaro
isp	İSS
christina	christina
casein	kazein
toughen	sertleştirmek
standardize	standartlaştırmak
retake	tekrar almak
abate	azaltmak
tenfold	on kat
traceable	izlenebilir
brassy	pirinç gibi
springy	yaylı
hyperbolic	hiperbolik
anti-immigrant	göçmen karşıtı
lemony	limonsu
wearable	giyilebilir
public-school	devlet okulu
associative	çağrışımsal
imperfection	kusur
sterility	kısırlık
grande	büyük
molester	tacizci
raiser	artırmak
placard	pankart
petrol	benzin
diy	kendin yap
obsidian	obsidyen
turnip	şalgam
detox	detoks
nouveau	yeni
regionalism	bölgecilik
judo	judo
carotene	karoten
samba	samba
forester	ormancı
cha	cha
ewe	koyun
septum	septum
oc	oc
tumour	tümör
overdo	abartmak
tinker	tamircilik
discontinue	son vermek
vexing	üzücü
forgettable	unutulabilir
frisky	hareketli
bawdy	müstehcen
ulterior	gizli
roundabout	dolambaçlı
treeless	ağaçsız
starchy	nişastalı
campy	şaşkın
obsessive-compulsive	obsesif kompulsif
deterministic	deterministik
sous	metelik
waterborne	su bazlı
phylogenetic	filogenetik
dicey	şüpheli
rasp	törpü
gossamer	incecik
tempest	fırtına
conciliation	uzlaşma
workweek	çalışma haftası
duh	ah
supervising	denetlemek
starlet	yıldız adayı
chivalry	şövalyelik
sauerkraut	lahana turşusu
riser	yükseltici
chlorophyll	klorofil
fx	döviz
quince	ayva
neuron	nöron
chipper	parçalayıcı
selfhood	benlik
epsilon	epsilon
integrator	entegratör
sidestep	yan adım
amass	yığın
overestimate	abartmak
princely	soylu
thirteen-year-old	on üç yaşında
salacious	müstehcen
half-day	yarım gün
high-grade	yüksek dereceli
three-judge	üç yargıç
pert	küstah
endothelial	endotelyal
benthic	bentik
wonderland	harikalar diyarı
vehemence	şiddet
meddling	karışmak
homespun	sade
impoverishment	yoksullaşma
thesaurus	eş anlamlılar sözlüğü
buster	vahşi
morn	sabah
increment	artış
taffeta	tafta
discontinuity	süreksizlik
strangulation	boğulma
pinto	pinto
bandstand	orkestra standı
tracer	izleyici
tourney	turnuva
secretariat	sekreterlik
aero	aero
obelisk	Dikilitaş
sion	sion
manny	manny
extinguish	söndürmek
had	vardı
acrobatic	akrobatik
fatalistic	kaderci
biracial	çift ​​ırklı
endocrine	endokrin
macular	makula
mongolian	Moğolca
epistemic	epistemik
asean	Asya
nonchalance	umursamazlık
swoop	baskın
soundness	sağlamlık
acrimony	hırçınlık
rightness	doğruluk
larceny	hırsızlık
epilogue	sonsöz
statistician	istatistikçi
statehouse	devlet binası
beeswax	balmumu
chalet	dağ evi
magnum	magnum
rollback	geri alma
augmentation	büyütme
balsam	balsam
intentionality	kasıtlılık
amortization	amortisman
cloture	çit
neha	neha
stiffen	pekiştirmek
darken	karartmak
purify	arındırmak
impassable	geçilmez
sacrosanct	kutsal
see-through	şeffaf
laid	koydu
professorial	profesörlük
cartesian	Kartezyen
coronal	koronal
echelon	kademe
pinky	serçe parmağı
ness	varlık
ab	ab
interconnectedness	birbirine bağlılık
crud	rezil
futurist	fütürist
twister	kasırga
jackass	salak
half-life	yarı ömür
vixen	cadı
pullman	pullman
ci	ci
crossbow	tatar yayı
taser	şok cihazı
peptide	peptit
calvin	calvin
student/teacher	öğrenci/öğretmen
penalize	cezalandırmak
wean	sütten kesmek
meteoric	meteorik
sparkly	ışıltılı
sable	samur
godless	tanrısız
declarative	bildirimsel
mnemonic	anımsatıcı
wonderment	şaşkınlık
grunting	homurdanma
barroom	bar odası
seeking	Aranıyor
sirloin	sığır filetosu
downfield	alt saha
deadbeat	avanta
husk	kabuk
earpiece	kulaklık
mayo	mayonez
co-operation	işbirliği
polypropylene	polipropilen
pinot	pinot
insemination	tohumlama
discipleship	müritlik
effusive	coşkulu
loathsome	iğrenç
unaccountable	hesap verilemez
u.s.-soviet	ABD-Sovyet
hexagonal	altıgen
endogenous	endojen
chromatic	kromatik
photosynthetic	fotosentetik
low-carb	düşük karbonhidrat
beeline	kestirme yol
surefire	kesin ateş
cornucopia	bereket
ringleader	elebaşı
analogue	analog
d'etat	durum
livery	üniforma
informer	muhbir
coleslaw	lâhana salatası
dike	hendek
internationalization	uluslararasılaşma
synchronization	senkronizasyon
patsy	kurban
amputee	ampute
fleck	benek
greyhound	tazı
trapeze	trapez
bathhouse	hamam
valence	değerlik
fructose	fruktoz
ssc	ssc
cringe	utandırıcı
erudite	bilgili
world-wide	dünya çapında
high-cost	yüksek maliyetli
insoluble	çözünmez
high-income	yüksek gelirli
post-colonial	sömürgecilik sonrası
amphibian	amfibi
poignancy	dokunaklılık
incredulity	inanmama
ferment	fermente etmek
rediscovery	yeniden keşif
deodorant	deodorant
hookup	ilişki kurmak
quicksand	bataklık
archivist	arşivci
urinal	pisuar
mag	şarjör
erasure	silme
pantyhose	külotlu çorap
rhinoceros	gergedan
yin	yin
mime	pandomim
excellency	Ekselans
filly	kısrak
locket	madalyon
from-hidden-camera	gizli kameradan
prod	dürtükleme
august	Ağustos
american-style	amerikan tarzı
top-quality	en kaliteli
been	oldu
mother-daughter	anne-kız
in-flight	uçuş sırasında
positional	konumsal
circadian	sirkadiyen
benediction	kutsama
snobbery	züppelik
chime	çan
retraction	geri çekilme
rime	kırağı
returner	geri dönen
limbaugh	şakacı
valise	bavul
norse	İskandinav
holo	selam
excavate	kazmak
presentable	prezentabl
photogenic	fotojenik
inattentive	dikkatsiz
michigan	Michigan
afrikaner	Afrikalı
aficionado	meraklı
rough-and-tumble	kaba ve takla
or	veya
overstatement	abartma
potpourri	potpuri
inducement	teşvik
hoard	istif
misogyny	kadın düşmanlığı
republicanism	cumhuriyetçilik
phoenix	anka kuşu
separateness	ayrılık
roadster	yolcu
atherosclerosis	ateroskleroz
classicism	klasisizm
concealer	kapatıcı
stylistics	stilistik
overpower	aşırı güç
extrapolate	tahminde bulunmak
petulant	huysuz
derisive	alaycı
humorless	mizahsız
opportune	uygun
well-written	iyi yazılmış
non-partisan	partizan olmayan
traditionalist	gelenekçi
transboundary	sınır ötesi
hunker	yakışıklı
squirt	fışkırtma
weightlessness	ağırlıksızlık
backwardness	geri kalmışlık
pervert	sapık
evaluator	değerlendirici
hobo	serseri
encephalitis	beyin iltihabı
feedstock	hammadde
equalization	eşitleme
mongoose	firavun faresi
chattahoochee	sohbet
boxcar	yük vagonu
jubilee	jübile
amulet	muska
ginkgo	ginkgo
phyllo	yufka
gina	Gina
boll	koza
codex	kodeks
homecare	evde bakım
re-examine	yeniden incelemek
infirm	sakat
rehabilitative	rehabilite edici
active-duty	aktif görev
jugular	şahdamar
extrasolar	güneş dışı
operandi	operandi
scrambling	çabalamak
bristle	kıl
rolex	rolex
kindling	çıra
tiredness	yorgunluk
villager	köylü
shard	kırık
boa	boa
collard	Karalahana
idolatry	putperestlik
ophthalmologist	göz doktoru
cupcake	kek
raffia	rafya
paddock	padok
detoxification	detoksifikasyon
self-talk	kendi kendine konuşma
riker	daha riskli
waver	tereddüt etmek
deport	sınır dışı etmek
gaily	neşeli
sinewy	güçlü
untoward	uygunsuz
ornery	huysuz
unhelpful	yararsız
undetectable	tespit edilemez
closed-circuit	kapalı devre
adulterous	zina yapan
two-party	iki partili
tartan	tartan
diatribe	eleştiri
stand-in	vekil
ex-girlfriend	eski kız arkadaş
serenade	serenat
forklift	forklift
cabbie	taksici
civics	yurttaşlık bilgisi
servicing	servis
retrenchment	işten çıkarma
radish	turp
seedling	fide
hinterland	iç bölge
kiwi	kivi
scrabble	karalama
honour	onur
bookshop	kitapçı
trombone	trombon
crayfish	kerevit
monofilament	monofilament
d'une	bir
gideon	Gideon
napster	şekerleme
buffy	buffy
quint	beşte biri
longline	parakete
pollock	pollock
back-and-forth	ileri geri
caught	yakalanmış
two-room	iki odalı
odious	iğrenç
ersatz	yapay zeka
pied	alaca
consonant	ünsüz
arthroscopic	artroskopik
sistine	sistin
anti-lock	kilitlenme önleyici
saxon	sakson
diasporic	diasporik
ado	ado
intransigence	uzlaşmazlık
alabaster	kaymaktaşı
scrubbing	ovma
bib	önlük
wellbeing	refah
swatch	renk örneği
adornment	süsleme
ethicist	ahlakçı
tickle	gıdıklamak
gwinnett	gwinnett
grafting	aşılama
indeterminacy	belirsizlik
nonunion	sendikasızlık
auger	burgu
renee	Renee
superfund	süper fon
stacy	durağan
orchestrate	düzenlemek
well-paid	iyi maaşlı
would	istemek
sallow	solgun
florid	gösterişli
occidental	batılı
pygmy	pigme
precolonial	sömürge öncesi
lilt	kıvraklık
phenom	fenomen
stabbing	bıçaklama
changer	değiştirici
extrapolation	ekstrapolasyon
hazelnut	fındık
conifer	kozalaklı ağaç
centenary	yüzüncü yıl dönümü
dutchman	Hollandalı
hag	cadı
boxwood	şimşir
microbe	mikrop
han	O
instep	ayak bileği
wort	şerbetçiotu
bethany	Bethany
homocysteine	homosistein
como	gibi
depress	bastırmak
immovable	taşınmaz
marshy	bataklık
directorial	yönetmenlik
paralegal	avukat yardımcısı
regenerative	yenileyici
post-secondary	ortaöğretim sonrası
shifty	kurnaz
prophylactic	profilaktik
tibial	kaval kemiği
go-ahead	devam etmek
stoplight	trafik ışığı
postgame	oyun sonrası
fuchsia	fuşya
joblessness	işsizlik
pooch	köpek
viewership	izleyici sayısı
tapping	dokunarak
peephole	gözetleme deliği
blotter	kurutma kağıdı
canary	kanarya
telemetry	telemetri
bookseller	kitapçı
backboard	arkalık
lager	bira
criminology	kriminoloji
tomahawk	savaş baltası
silo	silo
bleep	bip sesi
cbo	CBO
homeownership	ev sahipliği
attenuation	zayıflama
triptych	üç parçalı
choy	lahana
marquis	marki
nasp	kısa uyku
beware	dikkatli ol
reevaluate	yeniden değerlendirmek
torrid	kavurucu
toasty	kadeh kaldırmak
curable	tedavi edilebilir
practicable	uygulanabilir
reptilian	sürüngen
free-throw	serbest atış
neglectful	ihmalkar
ecuadorian	Ekvador
groundswell	yer dalgası
svelte	zarif
pallor	solukluk
dishonor	şerefsizlik
strobe	flaş
comma	virgül
ottoman	Osmanlı
faggot	ibne
flatware	sofra takımı
teflon	teflon
hubble	hubble
tuskegee	Tuskegee
folio	folyo
simulacrum	taklit
hijab	başörtüsü
salinger	salinger
subtract	çıkarma
counterclockwise	saat yönünün tersine
haywire	başıboş
headlong	düşüncesizce
disdainful	kibirli
flat-screen	düz ekran
four-bedroom	dört yatak odalı
upper-body	üst vücut
dynastic	hanedan
deep-water	derin su
non-european	Avrupalı ​​olmayan
attentional	dikkatli
overreaction	aşırı tepki
shtick	saçmalık
admittance	giriş
sternum	göğüs kemiği
flotation	yüzdürme
emulsion	emülsiyon
outback	taşra
dismemberment	parçalanma
opacity	opaklık
hairspray	saç spreyi
dystrophy	distrofi
hamster	hamster
internalization	içselleştirme
ogre	dev
kaplan	kaplan
pharaoh	firavun
carapace	kabuk
cosmopolitanism	kozmopolitlik
bluefish	lüfer
sharia	şeriat
dec	aralık
humongous	devasa
stillborn	ölü doğmuş
xenophobic	yabancı düşmanı
synergistic	sinerjik
military-industrial	askeri-endüstriyel
color-blind	renk körü
hourlong	bir saat süren
malfeasance	görevi kötüye kullanma
quickie	şipşak
frugality	tutumluluk
remover	sökücü
rescuer	kurtarıcı
singer-songwriter	şarkıcı-söz yazarı
chaise	şezlong
kerchief	mendil
dweller	sakin
cunt	am
consignment	sevkıyat
al-maliki	el-Maliki
basalt	bazalt
marmalade	marmelat
waistcoat	yelek
dolly	oyuncak bebek
customization	özelleştirme
jihadist	cihatçı
isthmus	kıstak
tammy	tammi
parallelism	paralellik
gault	yürüyüş
eisner	eisner
clog	tıkanıklık
grayish	grimsi
third-place	üçüncü sıra
geometrical	geometrik
out-of-wedlock	evlilik dışı
orthogonal	ortogonal
kevorkian	kevorkian
senegalese	senegalli
earnestness	ciddiyet
neophyte	acemi
councilwoman	meclis üyesi
ing	ing
time-out	zaman aşımı
liftoff	havalanma
pelt	post
copier	fotokopi makinesi
stepchildren	üvey çocuklar
oceanography	oşinografi
disorganization	düzensizlik
middleweight	orta sıklet
conveyance	nakil
uno	A
endangerment	tehlikeye atma
confessor	itirafçı
alleviation	hafifletme
kilt	İskoç eteği
pong	tenis
lute	ud
steppe	bozkır
flaxseed	keten tohumu
zeta	zeta
quran	Kuran
malware	kötü amaçlı yazılım
colonize	sömürgeleştirmek
undress	soyunmak
hand-in-hand	el ele
half-eaten	yarısı yenmiş
twenty-year-old	yirmi yaşında
brutish	vahşi
off-the-shelf	satışa hazır
generalizable	genelleştirilebilir
indivisible	bölünmez
san	san
communicable	bulaşıcı
autonomic	otonom
asynchronous	asenkron
humorist	mizahçı
dribble	salya sürmek
statuary	heykel
pageantry	gösteri
irrationality	mantıksızlık
megaphone	megafon
devolution	yetki devri
paddy	çeltik
lakewood	göl ağacı
steakhouse	et lokantası
frigate	firkateyn
shawn	Shawn
pashtun	Peştun
antifreeze	antifriz
amaze	hayrete düşürmek
fortify	güçlendirmek
personalize	kişiselleştirmek
detonate	patlatmak
revoke	geri çekmek
broken-down	bozulmuş
herculean	Herkül gibi
life-and-death	yaşam ve ölüm
college-age	üniversite çağı
teeny	ufacık
site-specific	siteye özgü
audiovisual	görsel-işitsel
paleolithic	paleolitik
invertebrate	omurgasız
epithelial	epitelyal
peck	gagalamak
no-no	hayır hayır
incongruity	uyumsuzluk
destabilization	istikrarsızlaştırma
earner	kazanan
husbandry	hayvancılık
orchestration	orkestrasyon
falsetto	sahte
nugget	külçe
precept	kural
eucalyptus	okaliptüs
bummer	serseri
gent	beyefendi
conducting	iletken
pacifism	pasifizm
sawmill	kereste fabrikası
porthole	lumboz
superdome	süper kubbe
mulberry	dut
common-law	ortak hukuk
sweeper	süpürücü
hex	altıgen
dragonfly	yusufçuk
americanism	amerikancılık
peregrine	alaca
wane	zayıflamak
overhear	kulak misafiri olmak
unshaven	tıraşsız
per-capita	kişi başına
anti-social	antisosyal
supply-side	arz tarafı
gregorian	Gregoryen
nitrous	nitrolu
thin-film	ince film
maxillary	üst çene
iota	azıcık
buzzword	moda sözcük
dusting	toz alma
confection	şekerleme
confiscation	müsadere
spoke	konuştu
hijacking	kaçırma
heather	funda
oligarchy	oligarşi
terminator	sonlandırıcı
cultivar	çeşit
menorah	menora
agar	ağar
elway	elway
deviate	sapmak
institutionalize	kurumsallaştırmak
picture-perfect	mükemmel resim
offhand	hazırlıksız
bloodthirsty	kana susamış
gentlemanly	centilmence
palatial	görkemli
abominable	iğrenç
unproven	kanıtlanmamış
rush-hour	yoğun saat
onshore	karada
antidepressant	antidepresan
physiologic	fizyolojik
jubilation	sevinç
consultancy	danışmanlık
timidity	çekingenlik
preeminence	üstünlük
chauvinism	şovenizm
pantsuit	takım elbise
emcee	sunucu
meteorology	meteoroloji
slingshot	sapan
merry-go-round	atlıkarınca
rebounder	ribauntçu
interactivity	etkileşim
robustness	sağlamlık
marinara	marinara
pixie	peri
paleontology	paleontoloji
bromide	bromür
multilateralism	çok taraflılık
grout	harç
folate	folat
persevere	sebat etmek
veer	yön değiştirmek
white-hot	beyaz-sıcak
autumnal	sonbahar
home-equity	özsermaye
daylong	gün boyu
grist	öğütülmüş tahıl
firmament	gökkubbe
passerby	yoldan geçen
striving	çabalamak
promontory	burun
doneness	pişmişlik
solitaire	tek taş
trespass	izinsiz giriş
tendinitis	tendinit
etymology	etimoloji
javelin	cirit
trestle	sehpa
missus	gönderilmiş
blubber	ağlayan
mulatto	melez
tsunamis	tsunamiler
dyad	ikili
neuroticism	nevrotiklik
stent	stent
catwoman	kedi kadın
so-so	şöyle böyle
four-story	dört katlı
syrupy	şuruplu
distrustful	güvensiz
outsize	büyük boy
eponymous	aynı adı taşıyan
episcopalian	piskoposlukçu
collapsible	katlanabilir
virginal	bakire
night-vision	gece görüşü
frequent-flier	sık uçan yolcu
capillary	kılcal damar
whammy	nazar
name-calling	isim takmak
barking	havlıyor
delineation	tasvir
postmortem	ölüm sonrası
signage	tabela
bull's-eye	hedef tahtası
fa	fa
lima	Lima
loo	tuvalet
antiaircraft	uçaksavar
radiology	radyoloji
lemme	izin ver
damping	sönümleme
plantain	muz
mamma	anne
tungsten	tungsten
aqueduct	su kemeri
chrysalis	krizalit
motherboard	anakart
revolve	döndürmek
waist-high	bel hizasında
low-interest	düşük faizli
blasphemous	kafir
eyed	gözlü
coming-of-age	reşit olma
curative	iyileştirici
anatomic	anatomik
kashmiri	Keşmir
pittance	düşük ücret
equanimity	sakinlik
pr	halkla ilişkiler
leaguer	birlik
interlocutor	muhatap
squall	fırtına
calico	patiska
floss	diş ipi
bam	bam
yak	yak
trawler	trol teknesi
electrolyte	elektrolit
terracotta	pişmiş toprak
ka	the
weiner	daha zayıf
callaway	çağrı
raptor	yırtıcı hayvan
picard	pikard
outlive	hayatta kalmak
stolid	duygusuz
untrustworthy	güvenilmez
headstrong	inatçı
monopolistic	tekelci
two-car	iki araba
octagonal	sekizgen
low-power	düşük güç
life-support	yaşam desteği
public-sector	kamu sektörü
open-source	açık kaynak
happenstance	tesadüf
run-in	alıştırma
snot	sümük
misinterpretation	yanlış yorumlama
undertone	alt ton
ooze	sızmak
emigre	göç etmek
gynecology	jinekoloji
musculature	kas yapısı
nepotism	kayırmacılık
shoebox	ayakkabı kutusu
cramp	kramp
afterglow	akşam kızıllığı
nassau	Nassau
backhoe	kazıcı
robotics	robotik
wu	sen
llama	lama
temporality	geçicilik
violator	ihlalci
pcb	pcb
kuiper	kuiper
philology	filoloji
aso	ayrıca
blasier	ceket
jum	gün
evict	tahliye
abhorrent	iğrenç
aglow	kıpkırmızı
squeamish	alıngan
upside-down	baş aşağı
question-and-answer	soru-cevap
rough-hewn	kaba yontulmuş
tiptoe	parmak ucunda
salve	merhem
stoppage	durma
infielder	iç saha oyuncusu
transference	aktarım
reinvestment	yeniden yatırım
fugue	füg
lockdown	karantina
defector	sığınmacı
cervix	serviks, rahim ağzı
entomology	böcek bilimi
quay	iskele
phenomenology	fenomenoloji
hydropower	hidroelektrik
harmonization	uyumlaştırma
plebiscite	plebisit
historicism	tarihselcilik
sdi	SDI
compiler	derleyici
kimble	kimble
overshadow	gölgede bırakmak
give-and-take	verme ve alma
clean-shaven	temiz traşlı
cheeky	yüzsüz
ice-cold	buz gibi
surface-to-air	yüzeyden havaya
godly	dindar
oceanographic	oşinografik
maoist	maocu
backhand	ters vuruş
ordinal	sıralı
hermeneutical	yorumsal
patristic	ataerkil
proclivity	eğilim
rumbling	guruldama
serendipity	tesadüf
forbearance	hoşgörü
explication	açıklama
flagpole	bayrak direği
scoundrel	alçak
pullover	kazak
spire	kule
couldnt	yapamadım
decisionmaking	karar verme
seatbelt	emniyet kemeri
proviso	şart
hernia	fıtık
despotism	despotizm
deviance	sapkınlık
commissioning	devreye alma
fatherland	anavatan
dossier	dosya
al-zarqawi	el-Zerkavi
pedophilia	pedofili
discus	tartışmak
siting	Yerleştirme
intelligibility	anlaşılırlık
ferret	gelincik
untangle	çözmek
equalize	eşitlemek
fabricate	uydurmak
hot-button	kısayol tuşu
purplish	morumsu
four-week	dört haftalık
off-white	Beyaz kapalı
dietetic	diyetetik
votive	adak
equine	at
comic-book	çizgi roman
babylonian	Babil'e ait
exp	deneyim
uptick	yükseliş
safekeeping	saklama
merriment	neşe
guarantor	garantör
infraction	ihlal
banishment	sürgün
figurehead	figüran
headroom	boşluk payı
spatter	sıçramak
cheesecloth	tülbent
tylenol	tylenol
cohabitation	birlikte yaşama
cynthia	Cynthia
neurotransmitter	nörotransmitter
professionalization	profesyonelleşme
d'un	bir
a-rod	çubuk
kinesiology	kinesiyoloji
comprise	içermek
lengthen	uzatmak
immeasurable	ölçülemez
indecipherable	çözülemez
seventeen-year-old	on yedi yaşında
fantastical	fantastik
leafless	yapraksız
despotic	despot
health-food	sağlık-gıda
hot-air	sıcak hava
ninth-grade	dokuzuncu sınıf
deductive	tümdengelimli
iberian	İber
psychosomatic	psikosomatik
structuralist	yapısalcı
rapidity	hız
thoroughness	titizlik
eleven-year-old	on bir yaşında
gripe	yakınma
follow-through	takip
reenactment	yeniden canlandırma
gentrification	soylulaştırma
myopia	miyopi
helix	sarmal
counterintelligence	karşı istihbarat
self-criticism	özeleştiri
salamander	semender
harpoon	zıpkın
rangeland	mera
tempera	tempera
skinhead	dazlak
orienteering	oryantiring
reb	isyan
churn	yayık
disapprove	onaylamamak
serendipitous	şans eseri
one-shot	tek atış
low-density	düşük yoğunluklu
peremptory	buyurucu
high-temperature	yüksek sıcaklık
socratic	sokratik
on-time	zamanında
smoke-free	dumansız
macroscopic	makroskobik
shamanic	şamanik
wince	çekinme
unpleasantness	tatsızlık
vibrancy	canlılık
praying	dua etmek
tomboy	erkek fatma
dimness	loşluk
pinkie	serçe parmak
photocopy	fotokopi
breakage	kırmak
lyricist	söz yazarı
undertaker	cenazeci
midcentury	yüzyıl ortası
hyperinflation	hiperenflasyon
eddy	girdap
ana	O
reforestation	yeniden ağaçlandırma
unilateralism	tek taraflılık
shamrock	yonca
empress	imparatoriçe
turnpike	paralı yol
empiricism	deneycilik
militarization	militarizasyon
cu	cu
favre	favorim
synod	sinod
demonstrable	kanıtlanabilir
diehard	inatçı
moonless	aysız
breathy	nefes kesici
woozy	sersem
amoral	ahlak dışı
off-campus	kampüs dışı
wide-angle	geniş açı
low-intensity	düşük yoğunluklu
davidian	David'e özgü
tal	ile ilgili
multi-party	çok partili
adventist	Adventist
castilian	Kastilya
azerbaijani	azerbaycanlı
weirdness	tuhaflık
denouement	sonuç
acquit	beraat
litigator	davacı
co-anchor	ortak çapa
sapling	fidan
girdle	kuşak
opportunism	fırsatçılık
teaser	teaser
beachhead	sahil başı
ut	dışarı
redeployment	yeniden konuşlandırma
liberator	kurtarıcı
rectum	Sağ
